release_date,price,average_playtime,release_month,release_year,multi_player,single_player,sports,total_ratings
2008-10-08,8.59,346,10,2008,0,1,0,921
2009-01-23,5.79,0,1,2009,0,1,0,110
2008-07-17,6.99,0,7,2008,0,1,0,537
2009-09-03,6.99,151,9,2009,0,1,1,650
2011-11-23,6.99,136,11,2011,0,1,1,999
2009-02-18,14.99,628,2,2009,1,1,0,6381
2008-08-28,1.99,387,8,2008,0,1,0,3181
2008-08-28,1.99,67,8,2008,0,1,0,854
2010-12-20,3.99,3,12,2010,0,1,0,592
2010-12-20,6.99,98,12,2010,0,1,0,898
2008-06-30,5.99,0,6,2008,0,1,0,2
2008-06-10,6.99,0,6,2008,0,1,0,121
2008-06-10,5.99,0,6,2008,0,1,0,9
2008-06-10,5.99,0,6,2008,0,1,0,21
2008-06-10,5.99,102,6,2008,0,1,0,66
2008-06-10,5.99,0,6,2008,0,1,0,108
2008-06-10,5.99,0,6,2008,0,1,0,43
2008-07-29,6.99,0,7,2008,0,1,0,49
2008-10-31,5.99,0,10,2008,0,1,0,53
2008-11-14,6.99,0,11,2008,0,1,0,78
2008-12-15,5.99,0,12,2008,0,1,0,43
2009-04-29,5.99,0,4,2009,0,1,0,51
2008-05-12,5.99,0,5,2008,0,1,0,27
2008-05-12,5.99,0,5,2008,0,1,0,14
2008-05-12,5.99,0,5,2008,0,1,0,53
2008-05-12,5.99,0,5,2008,0,1,0,43
2008-05-28,5.99,0,5,2008,0,1,0,39
2009-05-06,7.49,0,5,2009,0,1,0,27
2009-02-12,9.99,301,2,2009,1,1,0,3783
2008-05-22,1.99,0,5,2008,0,1,0,11
2008-05-28,5.99,382,5,2008,1,1,1,202
2009-01-29,16.99,0,1,2009,0,1,1,34
2008-07-01,0.79,264,7,2008,0,1,0,418
2009-05-01,1.69,9,5,2009,0,1,0,2051
2008-12-01,1.69,90,12,2008,0,1,0,2095
2008-09-23,9.99,1,9,2008,1,1,0,425
2018-08-14,15.49,0,8,2018,0,1,0,742
2012-06-27,0.0,128,6,2012,1,0,0,8208
2008-07-08,5.99,0,7,2008,0,1,0,218
2008-09-22,1.49,0,9,2008,0,1,0,67
2008-09-30,6.99,0,9,2008,0,1,0,151
2008-11-19,6.99,0,11,2008,0,1,0,21
2008-09-17,9.99,313,9,2008,0,1,0,7352
2008-09-17,7.99,18,9,2008,0,1,0,2006
2008-12-19,14.99,1142,12,2008,0,1,0,17115
2009-01-14,9.99,260,1,2009,0,1,0,20221
2008-12-19,9.99,916,12,2008,1,1,0,3432
2008-12-19,9.99,171,12,2008,0,1,0,581
2009-11-05,14.99,2061,11,2009,0,1,0,6675
2008-12-19,7.99,612,12,2008,0,1,0,10773
2009-01-09,14.99,295,1,2009,0,1,0,10185
2009-01-08,9.99,575,1,2009,0,1,0,5245
2008-10-03,0.0,948,10,2008,1,0,0,6181
2010-02-12,0.0,117,2,2010,1,0,0,4421
2011-09-26,6.99,971,9,2011,1,0,0,2116
2008-07-28,0.0,701,7,2008,1,0,0,778
2008-05-21,5.99,7,5,2008,0,1,0,436
2008-11-07,5.99,0,11,2008,0,1,0,141
2010-10-25,7.99,1008,10,2010,0,1,0,574
2010-11-30,7.99,0,11,2010,0,1,0,143
2011-08-31,9.99,14,8,2011,0,1,0,186
2012-01-19,6.99,37,1,2012,0,1,0,238
2008-10-20,3.99,126,10,2008,0,1,0,398
2008-06-20,7.19,66,6,2008,0,1,0,205
2008-12-12,6.99,0,12,2008,0,1,0,122
2009-04-30,6.99,0,4,2009,0,1,0,76
2009-07-29,3.99,1,7,2009,0,1,0,90
2008-12-08,6.99,455,12,2008,0,1,0,3420
2009-01-22,6.99,0,1,2009,1,1,0,22
2009-04-02,6.99,17,4,2009,0,1,0,1062
2010-01-12,3.99,373,1,2010,1,1,1,825
2009-03-02,17.99,58,3,2009,0,1,0,917
2010-06-25,7.99,0,6,2010,1,1,0,24
2010-06-25,11.99,0,6,2010,0,1,0,92
2010-06-25,7.99,0,6,2010,0,1,0,14
2008-08-21,3.99,39,8,2008,0,1,0,416
2012-03-16,3.99,0,3,2012,0,1,0,14
2008-07-31,2.99,9,7,2008,0,1,0,63
2008-10-10,4.29,164,10,2008,0,1,0,356
2008-09-25,4.29,43,9,2008,0,1,0,882
2008-10-22,8.59,257,10,2008,1,1,0,7031
2008-12-10,8.59,305,12,2008,0,1,0,1214
2008-10-21,13.99,0,10,2008,1,1,1,16
2008-09-15,7.99,716,9,2008,1,1,0,6453
2009-08-05,4.99,79,8,2009,1,1,0,1478
2009-04-08,9.99,226,4,2009,1,1,0,1438
2009-08-06,4.99,0,8,2009,0,1,0,667
2010-03-11,14.99,186,3,2010,1,1,0,1809
2008-11-03,5.99,12,11,2008,0,1,0,65
2008-11-03,5.99,14,11,2008,0,1,0,67
2010-03-15,6.99,31,3,2010,0,1,0,1027
2008-09-16,6.99,773,9,2008,0,1,0,30597
2012-04-16,14.99,838,4,2012,0,1,0,41137
2008-09-29,14.99,490,9,2008,0,1,0,1292
2009-03-04,3.99,0,3,2009,1,1,0,347
2009-07-29,3.99,0,7,2009,0,1,0,148
2018-03-04,0.79,0,3,2018,0,1,0,5
2010-05-21,35.96,389,5,2010,0,1,0,6809
2011-06-21,12.99,310,6,2011,1,1,0,7379
2010-06-25,9.99,518,6,2010,0,1,0,2132
2008-09-30,2.99,0,9,2008,0,1,0,27
2008-10-03,4.79,0,10,2008,0,1,0,15
2008-11-13,4.99,0,11,2008,0,1,0,8
2009-04-07,3.49,0,4,2009,0,1,0,144
2009-07-07,13.99,0,7,2009,1,1,0,421
2009-07-28,6.49,20,7,2009,1,1,0,896
2009-07-28,6.49,15,7,2009,0,1,0,740
2009-09-15,13.99,868,9,2009,1,1,0,10868
2009-02-13,8.59,0,2,2009,0,1,0,413
2009-02-25,8.59,384,2,2009,1,1,0,384
2009-07-02,8.59,13,7,2009,0,1,0,1353
2008-10-13,6.99,194,10,2008,0,1,0,3692
2008-11-03,7.99,415,11,2008,0,1,0,3496
2009-01-23,0.0,188,1,2009,0,1,0,1475
2009-01-23,9.99,0,1,2009,1,1,0,268
2009-03-06,0.0,37,3,2009,0,1,0,1824
2009-04-21,6.99,307,4,2009,0,1,0,2336
2011-09-07,6.99,235,9,2011,1,1,0,2848
2008-10-28,7.99,588,10,2008,0,1,0,12630
2009-12-01,3.99,29,12,2009,1,1,0,706
2009-06-16,12.99,1135,6,2009,0,1,0,10111
2009-06-16,12.99,1307,6,2009,0,1,0,14653
2011-05-09,0.0,181,5,2011,1,1,0,5824
2009-12-17,14.99,1242,12,2009,0,1,0,22237
2010-10-21,7.99,2485,10,2010,0,1,0,69905
2011-06-02,3.99,28,6,2011,0,0,0,711
2009-02-11,5.99,0,2,2009,1,1,0,144
2010-08-26,14.99,327,8,2010,1,1,0,2908
2010-06-03,6.99,7,6,2010,0,1,0,1083
2010-09-22,6.99,96,9,2010,0,1,0,704
2010-11-17,6.99,1,11,2010,0,1,0,332
2010-04-20,1.59,0,4,2010,0,1,0,18
2009-05-26,3.99,0,5,2009,0,1,0,166
2009-11-18,3.99,73,11,2009,0,1,0,237
2008-11-25,7.99,102,11,2008,0,1,0,236
2008-12-18,7.99,4975,12,2008,1,1,0,175
2009-03-05,6.99,319,3,2009,0,1,0,492
2009-02-27,4.79,0,2,2009,0,1,0,102
2009-11-13,7.99,291,11,2009,0,1,0,1514
2009-02-24,6.99,0,2,2009,1,0,0,256
2011-12-14,6.99,253,12,2011,1,1,0,826
2010-11-23,6.99,0,11,2010,0,1,0,93
2009-04-27,10.99,175,4,2009,1,0,0,241
2015-09-17,34.99,287,9,2015,0,1,0,13909
2011-11-02,0.0,2990,11,2011,1,0,0,12792
2011-10-20,10.99,444,10,2011,0,1,0,37178
2009-11-24,7.99,6,11,2009,1,1,0,420
